Time (h), Inlet temperature (degC)
464,23.793
465,23.868
466,23.943
467,24.018
468,24.093
469,24.168
470,24.243
471,24.318
472,24.393
473,24.468
474,24.543
475,24.618
476,24.693
477,24.768
478,24.779
479,24.722
480,24.666
481,24.609
482,24.552
483,24.495
484,24.438
485,24.381
486,24.324
487,24.267
488,24.21
489,24.153
490,24.096
491,24.039
492,23.982
493,23.925
494,23.868
495,23.811
496,23.754
497,23.697
498,23.64
499,23.583
500,23.526
501,23.469
502,23.412
503,23.355
504,23.298
505,23.241
506,23.184
507,23.127
508,23.07
509,23.013
510,22.956
511,22.899
512,22.842
513,22.785
514,22.728
515,22.671
516,22.614
517,22.557
518,22.5
519,22.443
520,22.386
521,22.33
522,22.273
523,22.216
524,22.159
525,22.102
526,22.045
527,21.988
528,21.931
529,21.874
530,21.817
531,21.76
532,21.703
533,21.646
534,21.589
535,21.532
536,21.475
537,21.418
538,21.361
539,21.304
540,21.247
541,21.19
542,21.133
543,21.076
544,21.019
545,20.962
546,20.905
547,20.848
548,20.791
549,20.734
550,20.677
551,20.62
552,20.563
553,20.506
554,20.449
555,20.392
556,20.335
557,20.278
558,20.221
559,20.164
560,20.107
561,20.05
562,19.994
563,19.937
564,19.88
565,19.823
566,19.766
567,19.709
568,19.652
569,19.595
570,19.538
571,19.481
572,19.424
573,19.367
574,19.31
575,19.253
576,19.196
577,19.139
578,19.082
579,19.025
580,18.968
581,18.911
582,18.854
583,18.797
584,18.74
585,18.683
586,18.626
587,18.569
588,18.512
589,18.455
590,18.398
591,18.341
592,18.284
593,18.227
594,18.17
595,18.113
596,18.056
597,17.999
598,17.942
599,17.885
600,17.828
601,17.771
602,17.714
603,17.658
604,17.601
605,17.544
606,17.487
607,17.43
608,17.373
609,17.316
610,17.259
611,17.202
612,17.145
613,17.088
614,17.073
615,17.146
616,17.219
617,17.291
618,17.364
619,17.437
620,17.509
621,17.582
622,17.655
623,17.727
624,17.8
625,17.873
626,17.945
627,18.018
628,18.091
629,18.163
630,18.236
631,18.309
632,18.381
633,18.454
634,18.527
635,18.599
636,18.672
637,18.745
638,18.817
639,18.89
640,18.963
641,19.035
642,19.108
643,19.181
644,19.253
645,19.326
646,19.399
647,19.471
648,19.544
649,19.617
650,19.689
651,19.762
652,19.835
653,19.907
654,19.98
655,20.052
656,20.125
657,20.198
658,20.27
659,20.343
660,20.416
661,20.488
662,20.561
663,20.634
664,20.706
665,20.779
666,20.852
667,20.924
668,20.997
669,21.07
670,21.142
671,21.215
672,21.288
673,21.36
674,21.433
675,21.506
676,21.578
677,21.651
678,21.724
679,21.796
680,21.869
681,21.942
682,22.014
683,22.087
684,22.16
685,22.232
686,22.301
687,22.357
688,22.413
689,22.469
690,22.525
691,22.581
692,22.637
693,22.693
694,22.749
695,22.805
696,22.861
697,22.917
698,22.973
699,23.029
700,23.085
701,23.141
702,23.197
703,23.253
704,23.309
705,23.365
706,23.421
707,23.477
708,23.533
709,23.589
710,23.645
711,23.701
712,23.757
713,23.814
714,23.87
715,23.926
716,23.982
717,24.038
718,24.094
719,24.15
720,24.206
721,24.262
722,24.318
723,24.374
724,24.43
725,24.486
726,24.542
727,24.598
728,24.654
729,24.71
730,24.766
731,24.822
732,24.878
733,24.934
734,24.99
735,25.046
736,25.102
737,25.158
738,25.214
739,25.27
740,25.326
741,25.383
742,25.439
743,25.495
744,25.551
745,25.607
746,25.663
747,25.719
748,25.775
749,25.831
750,25.887
751,25.943
752,25.999
753,26.055
754,26.111
755,26.167
756,26.223
757,26.279
758,26.335
759,26.389
760,26.444
761,26.498
762,26.552
763,26.607
764,26.661
765,26.716
766,26.77
767,26.824
768,26.879
769,26.933
770,26.988
771,27.042
772,27.096
773,27.151
774,27.205
775,27.26
776,27.314
777,27.368
778,27.423
779,27.477
780,27.532
781,27.586
782,27.641
783,27.695
784,27.749
785,27.804
786,27.858
787,27.913
788,27.967
789,28.021
790,28.076
791,28.13
792,28.185
793,28.239
794,28.293
795,28.348
796,28.402
797,28.457
798,28.511
799,28.565
800,28.62
801,28.674
802,28.729
803,28.783
804,28.837
805,28.892
806,28.946
807,29.001
808,29.055
809,29.109
810,29.164
811,29.218
812,29.273
813,29.327
814,29.381
815,29.436
816,29.49
817,29.545
818,29.599
819,29.653
820,29.708
821,29.762
822,29.817
823,29.871
824,29.925
825,29.98
826,30.034
827,30.089
828,30.143
829,30.197
830,30.252
831,30.306
832,30.361
833,30.415
834,30.47
835,30.524
836,30.578
837,30.633
838,30.687
839,30.742
840,30.796
841,30.85
842,30.905
843,30.959
844,31.014
845,31.068
846,31.122
847,31.177
848,31.231
849,31.286
850,31.34
851,31.394
852,31.449
853,31.503
854,31.558
855,31.612
856,31.666
857,31.721
858,31.775
859,31.83
860,31.884
861,31.938
862,31.993
863,32.047
864,32.102
865,32.156
866,32.21
867,32.265
868,32.319
869,32.374
870,32.428
871,32.482
872,32.537
873,32.591
874,32.646
875,32.7
876,32.754
877,32.809
878,32.863
879,32.918
880,32.972
881,33.026
882,33.081
883,33.135
884,33.19
885,33.244
886,33.299
887,33.353
888,33.407
889,33.462
890,33.516
891,33.571
892,33.625
893,33.679
894,33.734
895,33.788
896,33.843
897,33.897
898,33.951
899,34.006
900,34.06
901,34.115
902,34.157
903,34.027
904,33.897
905,33.768
906,33.638
907,33.508
908,33.378
909,33.248
910,33.118
911,32.988
912,32.859
913,32.729
914,32.599
915,32.469
916,32.339
917,32.209
918,32.079
919,31.95
920,31.82
921,31.69
922,31.56
923,31.43
924,31.3
925,31.17
926,31.041
927,30.911
928,30.781
929,30.651
930,30.521
931,30.391
932,30.261
933,30.132
934,30.002
935,29.872
936,29.742
937,29.612
938,29.482
939,29.352
940,29.223
941,29.093
942,28.963
943,28.833
944,28.703
945,28.573
946,28.443
947,28.314
948,28.184
949,28.054
950,27.924
951,27.794
952,27.664
953,27.534
954,27.405
955,27.275
956,27.145
957,27.015
958,26.885
959,26.755
960,26.625
961,26.496
962,26.366
963,26.236
964,26.106
965,25.976
966,25.846
967,25.716
968,25.587
969,25.457
970,25.327
971,25.197
972,25.067
973,24.937
974,24.807
975,24.678
976,24.548
977,24.418
978,24.288
979,24.158
980,24.028
981,23.898
982,23.769
983,23.639
984,23.509
985,23.379
986,23.249
987,23.119
988,22.989
989,22.86
990,22.73
991,22.6
992,22.47
993,22.34
994,22.21
995,22.08
996,21.951
997,21.821
998,21.691
999,21.561
1000,21.431
1001,21.301
1002,21.171
1003,21.042
1004,20.912
1005,20.782
1006,20.652
1007,20.522
1008,20.392
1009,20.262
1010,20.133
1011,20.003
1012,19.873
1013,19.743
1014,19.613
1015,19.483
1016,19.353
1017,19.224
1018,19.094
1019,18.964
1020,18.834
1021,18.704
1022,18.574
1023,18.444
1024,18.315
1025,18.185
1026,18.055
1027,17.925
1028,17.795
1029,17.665
1030,17.535
1031,17.406
1032,17.29
1033,17.284
1034,17.278
1035,17.271
1036,17.265
1037,17.259
1038,17.253
1039,17.247
1040,17.24
1041,17.234
1042,17.228
1043,17.222
1044,17.215
1045,17.209
1046,17.203
1047,17.197
1048,17.19
1049,17.184
1050,17.178
1051,17.172
1052,17.165
1053,17.159
1054,17.153
1055,17.147
1056,17.14
1057,17.134
1058,17.128
1059,17.122
1060,17.115
1061,17.109
1062,17.103
1063,17.097
1064,17.09
1065,17.084
1066,17.078
1067,17.072
1068,17.065
1069,17.059
1070,17.053
1071,17.047
1072,17.041
1073,17.034
1074,17.028
1075,17.022
1076,17.016
1077,17.009
1078,17.003
1079,16.997
1080,16.991
1081,16.984
1082,16.978
1083,16.972
1084,16.966
1085,16.959
1086,16.953
1087,16.947
1088,16.941
1089,16.934
1090,16.928
1091,16.922
1092,16.916
1093,16.909
1094,16.903
1095,16.897
1096,16.891
1097,16.884
1098,16.878
1099,16.872
1100,16.866
1101,16.859
1102,16.853
1103,16.847
1104,16.841
1105,16.835
1106,16.828
1107,16.822
1108,16.816
1109,16.81
1110,16.803
1111,16.797
1112,16.791
1113,16.785
1114,16.778
1115,16.772
1116,16.766
1117,16.76
1118,16.753
1119,16.747
1120,16.741
1121,16.735
1122,16.728
1123,16.722
1124,16.716
1125,16.703
1126,16.687
1127,16.67
1128,16.654
1129,16.638
1130,16.622
1131,16.605
1132,16.589
1133,16.573
1134,16.557
1135,16.54
1136,16.524
1137,16.508
1138,16.492
1139,16.475
1140,16.459
1141,16.443
1142,16.427
1143,16.411
1144,16.394
1145,16.378
1146,16.362
1147,16.346
1148,16.329
1149,16.313
1150,16.297
1151,16.281
1152,16.264
1153,16.248
1154,16.232
1155,16.216
1156,16.199
1157,16.183
1158,16.167
1159,16.151
1160,16.135
1161,16.118
1162,16.102
1163,16.086
1164,16.07
1165,16.053
1166,16.037
1167,16.021
1168,16.005
1169,15.988
1170,15.972
1171,15.956
1172,15.94
1173,15.923
1174,15.907
1175,15.891
1176,15.875
1177,15.858
1178,15.842
1179,15.826
1180,15.81
1181,15.794
1182,15.777
1183,15.761
1184,15.745
1185,15.729
1186,15.712
1187,15.696
1188,15.68
1189,15.664
1190,15.647
1191,15.631
1192,15.615
1193,15.599
1194,15.582
1195,15.566
1196,15.55
1197,15.534
1198,15.518
1199,15.501
1200,15.485
1201,15.469
1202,15.453
1203,15.436
1204,15.42
1205,15.404
1206,15.388
1207,15.371
1208,15.355
1209,15.339
1210,15.323
1211,15.306
1212,15.29
1213,15.274
1214,15.258
1215,15.242
1216,15.225
1217,15.211
1218,15.204
1219,15.197
1220,15.189
1221,15.182
1222,15.175
1223,15.167
1224,15.16
1225,15.153
1226,15.145
1227,15.138
1228,15.131
1229,15.123
1230,15.116
1231,15.109
1232,15.101
1233,15.094
1234,15.086
1235,15.079
1236,15.072
1237,15.064
1238,15.057
1239,15.05
1240,15.042
1241,15.035
1242,15.028
1243,15.02
1244,15.013
1245,15.006
1246,14.998
1247,14.991
1248,14.984
1249,14.976
1250,14.969
1251,14.961
1252,14.954
1253,14.947
1254,14.939
1255,14.932
1256,14.925
1257,14.917
1258,14.91
1259,14.903
1260,14.895
1261,14.888
1262,14.881
1263,14.873
1264,14.866
1265,14.859
1266,14.851
1267,14.844
1268,14.836
1269,14.829
1270,14.822
1271,14.814
1272,14.807
1273,14.8
1274,14.792
1275,14.785
1276,14.778
1277,14.77
1278,14.763
1279,14.756
1280,14.748
1281,14.741
1282,14.734
1283,14.726
1284,14.719
1285,14.711
1286,14.704
1287,14.697
1288,14.689
1289,14.682
1290,14.675
1291,14.667
1292,14.66
1293,14.653
1294,14.645
1295,14.638
1296,14.631
1297,14.623
1298,14.616
1299,14.609
1300,14.601
1301,14.594
1302,14.587
1303,14.579
1304,14.572
1305,14.564
1306,14.557
1307,14.55
1308,14.542
1309,14.535
1310,14.528
1311,14.52
1312,14.513
1313,14.506
1314,14.498
1315,14.491
1316,14.484
1317,14.476
1318,14.469
1319,14.462
1320,14.454
1321,14.447
1322,14.439
1323,14.432
1324,14.425
1325,14.417
1326,14.41
1327,14.403
1328,14.395
1329,14.388
1330,14.381
1331,14.373
